source,target
biology,生物学
medicine,医学
pharmacology,药理学
drug discovery,药物发现
biomarker,生物标志物
gene,基因
genome,基因组
protein,蛋白质
enzyme,酶
receptor,受体
antibody,抗体
immune response,免疫反应
cell line,细胞系
clinical trial,临床试验
randomized controlled trial,随机对照试验
efficacy,疗效
safety,安全性
adverse event,不良事件
toxicity,毒性
dose,剂量
bioavailability,生物利用度
pharmacokinetics,药代动力学
pharmacodynamics,药效学
in vitro,体外
in vivo,体内
molecular biology,?????
cell biology,?????
transcriptome,???
proteome,????
metabolome,???
single-cell sequencing,?????
RNA sequencing,RNA??
CRISPR,CRISPR
gene expression,????
gene regulation,????
signaling pathway,????
pathogenesis,????
diagnosis,??
prognosis,??
therapeutic target,????
drug target,????
small molecule,???
lead compound,?????
compound screening,?????
high-throughput screening,?????
structure-activity relationship,????
ADME,ADME
absorption,??
distribution,??
metabolism,??
excretion,??
half-life,???
maximum concentration,???
area under the curve,?????
placebo,???
cohort study,????
case-control study,??????
endpoint,??
primary endpoint,????
secondary endpoint,????
hazard ratio,???
odds ratio,???
relative risk,????
survival analysis,????
Kaplan-Meier curve,Kaplan-Meier??
comorbidity,???
contraindication,???
adverse drug reaction,??????
dose-response relationship,??-????
biocompatibility,?????
immunogenicity,????
tumor microenvironment,?????
inflammation,??
pathway enrichment,????
animal model,????
