source,target
ABSTRACT,摘要
Abstract,摘要
KEYWORDS,关键词
Keywords,关键词
INTRODUCTION,引言
Introduction,引言
METHODS,方法
MATERIALS AND METHODS,材料与方法
RESULTS,结果
DISCUSSION,讨论
CONCLUSION,结论
CONCLUSIONS,结论
Supporting Information,支持信息
Supplementary Information,补充信息
Data Availability,数据可用性
Code Availability,代码可用性
Acknowledgments,致谢
Conflict of Interest,利益冲突
References,参考文献
Research Article,研究文章
Review Article,综述文章
Received,收稿
Revised,修订
Accepted,接收
Published,发表
workflow,工作流程
framework,框架
paradigm,范式
benchmark,基准
baseline,基线
robustness,鲁棒性
scalability,可扩展性
reproducibility,可重复性
quantitative analysis,定量分析
qualitative analysis,定性分析
statistically significant,具有统计显著性
standard deviation,标准差
confidence interval,置信区间
dataset,数据集
data set,数据集
metadata,元数据
research question,????
research objective,????
hypothesis,??
literature review,????
theoretical framework,????
conceptual framework,????
methodology,???
experimental design,????
case study,????
systematic review,????
meta-analysis,????
cross-sectional study,?????
longitudinal study,????
randomized experiment,????
sample size,???
effect size,???
p-value,p?
null hypothesis,???
alternative hypothesis,????
control variable,????
confounding factor,????
correlation coefficient,????
regression coefficient,????
analysis of variance,????
principal component analysis,?????
sensitivity analysis,?????
ablation study,????
validation set,???
external validation,????
internal validity,????
external validity,????
generalizability,???
replication,????
open data,????
data availability statement,???????
ethics approval,????
informed consent,????
peer review,????
preprint,???
limitations,???
future work,????
author contributions,????
funding statement,??????
competing interests,?????
supplementary material,????
