source,target
social science,社会科学
sociology,社会学
education,教育学
psychology,心理学
cognition,认知
behavior,行为
motivation,动机
emotion,情绪
attitude,态度
learning outcome,学习成效
curriculum,课程
pedagogy,教学法
assessment,评价
intervention,干预
treatment group,处理组
control group,对照组
survey,调查
questionnaire,问卷
interview,访谈
participant,参与者
sample,样本
variable,变量
independent variable,自变量
dependent variable,因变量
validity,效度
reliability,信度
qualitative research,????
quantitative research,????
mixed-methods research,??????
ethnography,???
grounded theory,????
content analysis,????
discourse analysis,????
thematic analysis,????
focus group,????
sampling strategy,????
stratified sampling,????
random sampling,????
Likert scale,?????
construct validity,????
internal consistency,?????
Cronbach alpha,Cronbach alpha??
structural equation modeling,??????
SEM,SEM
factor analysis,????
mediating effect,????
moderating effect,????
social capital,????
social network,????
social inequality,?????
public policy,????
governance capacity,????
educational technology,????
learning analytics,????
online learning,????
blended learning,?????
instructional design,????
formative assessment,?????
summative assessment,?????
self-regulated learning,??????
academic achievement,????
cognitive load,????
working memory,????
executive function,????
mental health,????
well-being,???
stress,??
anxiety,??
depression,??
personality trait,????
self-efficacy,?????
social support,????
resilience,???
intervention effect,????
ethical consideration,????
informed consent,????
