source,target
economics,经济学
microeconomics,微观经济学
macroeconomics,宏观经济学
supply,供给
demand,需求
market equilibrium,市场均衡
inflation,通货膨胀
interest rate,利率
management,管理
strategy,战略
business model,商业模式
value chain,价值链
stakeholder,利益相关者
governance,治理
supply chain,供应链
risk management,风险管理
finance,金融
financial market,金融市场
asset,资产
liability,负债
equity,权益
return,回报
portfolio,投资组合
net present value,净现值
cash flow,现金流
economic growth,????
gross domestic product,??????
GDP,GDP
monetary policy,????
fiscal policy,????
exchange rate,??
unemployment rate,???
consumer price index,???????
CPI,CPI
productivity,???
elasticity,??
marginal cost,????
marginal utility,????
opportunity cost,????
econometrics,?????
panel data,????
time series,????
difference-in-differences,????
instrumental variable,????
fixed effects,????
random effects,????
corporate governance,????
organizational behavior,????
human resource management,??????
innovation management,????
operations management,????
project management,????
knowledge management,????
competitive advantage,????
customer satisfaction,?????
brand equity,????
market segmentation,????
capital structure,????
cost of capital,????
discount rate,???
internal rate of return,?????
IRR,IRR
earnings per share,????
financial statement,????
balance sheet,?????
income statement,???
cash flow statement,?????
volatility,???
liquidity,???
credit risk,????
market risk,????
value at risk,????
option pricing,????
asset pricing,????
behavioral finance,????
