source,target
computer science,计算机科学
software engineering,软件工程
algorithm,算法
data structure,数据结构
database,数据库
query,查询
API,API
frontend,前端
backend,后端
microservice,微服务
container,容器
deployment,部署
continuous integration,持续集成
version control,版本控制
repository,代码仓库
unit test,单元测试
debugging,调试
logging,日志记录
monitoring,监控
latency,延迟
throughput,吞吐量
cache,缓存
authentication,身份认证
authorization,授权
encryption,加密
operating system,????
compiler,???
programming language,????
runtime,???
virtual machine,???
distributed system,?????
cloud computing,???
edge computing,????
serverless computing,??????
network protocol,????
HTTP,HTTP
REST API,REST API
GraphQL,GraphQL
message queue,????
load balancing,????
fault tolerance,??
high availability,????
observability,????
tracing,????
profiling,????
benchmarking,????
memory management,????
garbage collection,????
concurrency,??
parallel computing,????
thread,??
process,??
deadlock,??
race condition,????
transaction,??
index,??
data warehouse,????
data lake,???
ETL,ETL
schema,??
normalization,???
replication,??
sharding,??
consensus algorithm,????
blockchain,???
cryptography,???
access control,????
vulnerability,??
penetration testing,????
DevOps,DevOps
continuous deployment,????
container orchestration,????
Kubernetes,Kubernetes
Docker,Docker
software architecture,????
