source,target
catalyst,催化剂
catalysis,催化
selectivity,选择性
conversion,转化率
yield,收率
active site,活性位点
support,载体
binder,粘结剂
precursor,前驱体
reagent,试剂
solvent,溶剂
feedstock,原料
reaction condition,反应条件
testing condition,测试条件
performance metric,性能指标
synthesis protocol,合成方案
synthesis pathway,合成路径
unit operation,单元操作
impregnation,浸渍
calcination,煅烧
drying,干燥
mixing,混合
ion exchange,离子交换
hydrothermal synthesis,水热合成
hydrogenation,加氢
dehydrogenation,脱氢
isomerization,异构化
xylene isomerization,二甲苯异构化
p-xylene,对二甲苯
ethylbenzene,乙苯
ethylbenzene conversion,乙苯转化率
xylene loss,二甲苯损失
disproportionation,歧化
zeolite,沸石
framework,骨架
pore size,孔径
surface area,比表面积
BET surface area,BET比表面积
pore volume,孔容
crystallinity,结晶度
morphology,形貌
particle size,粒径
dopant,掺杂剂
adsorption,吸附
desorption,解吸
XRD,XRD
XPS,XPS
SEM,SEM
TEM,TEM
FTIR,FTIR
SiO2,SiO2
Al2O3,Al2O3
turnover frequency,????
TOF,TOF
turnover number,???
TON,TON
activation energy,???
reaction kinetics,?????
rate constant,????
rate-limiting step,??????
intermediate,???
transition state,???
chemisorption,????
physisorption,????
Br?nsted acid site,???????
Lewis acid site,??????
metal loading,?????
dispersion,???
sintering,??
deactivation,??
coke formation,??
regeneration,??
temperature-programmed desorption,??????
TPD,TPD
temperature-programmed reduction,??????
TPR,TPR
Raman spectroscopy,????
NMR spectroscopy,??????
UV-vis spectroscopy,??-????
mass spectrometry,??
gas chromatography,????
high-performance liquid chromatography,??????
ICP-OES,ICP-OES
TGA,????
DSC,???????
MOF,??????
COF,??????
perovskite,???
nanoparticle,????
thin film,??
defect engineering,????
crystal structure,????
lattice parameter,????
phase transition,??
surface chemistry,????
acid density,???
hydrocracking,????
oxidation,??
reduction,??
alkylation,???
dealkylation,????
aromatization,???
